Position,Track Name,Artist,Streams,URL,
1,Rolls,Yzomandias,45487,https://open.spotify.com/track/7MjNsu3feSV5MnhZzBHXoh,
2,El Camino,Yzomandias,33082,https://open.spotify.com/track/35qWgo2AO9XQuXrznXAPN0,
3,Blinding Lights,The Weeknd,20140,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,
4,Mood (feat. Iann Dior),24kGoldn,19806,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,
5,Watermelon Sugar,Harry Styles,17845,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,
6,Savage Love (Laxed - Siren Beat),Jawsh 685,16377,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,
7,Breaking Me,Topic,16266,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,
8,Roses - Imanbek Remix,SAINt JHN,15764,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,
9,Až na měsíc,Viktor Sheen,15720,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l,
10,Hroby,Yzomandias,14928,https://open.spotify.com/track/1hKEBjt642uXxKRO3tsP2Z,
11,WAP (feat. Megan Thee Stallion),Cardi B,13979,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,
12,ROCKSTAR (feat. Roddy Ricch),DaBaby,13829,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,
13,Head & Heart (feat. MNEK),Joel Corry,13173,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,
14,Come & Go (with Marshmello),Juice WRLD,12554,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,
15,Kings & Queens,Ava Max,12346,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn,
16,Kolaps,CA$HANOVA BULHAR,12290,https://open.spotify.com/track/2aY1NJitfGnPDq54r34et3,
17,Napořád,Earth,11965,https://open.spotify.com/track/7C8l5orn9oUcXM2zd4oWlF,
18,Česká Floriida,Robin Zoot,11600,https://open.spotify.com/track/2K82hmiYt3POvX56n6lJH0,
19,LALALA,Grey,11261,https://open.spotify.com/track/55HtKTQeAdPbLz8NtlkaKB,
20,Dance Monkey,Tones And I,10953,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,
21,Svaz ceskych bohemu,Wohnout,10368,https://open.spotify.com/track/0twbASvGKPDvbWviKZcpyy,
22,my ex's best friend (with blackbear),Machine Gun Kelly,10257,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,
23,Teorie pádu,STEIN27,10108,https://open.spotify.com/track/5rv2HF2yCItB1KMEhBahxI,
24,Teď tady,Ektor,9899,https://open.spotify.com/track/28RZNfu3ECSTC6U8mhdL9Q,
25,Zrovna jí to najelo,CA$HANOVA BULHAR,9790,https://open.spotify.com/track/1waxcXUYLEme2y1qnubHma,
26,Máma Říkala,HILLS 97,9742,https://open.spotify.com/track/3MOs0OCcZGiANmuwrRcj1b,
27,Someone You Loved,Lewis Capaldi,9524,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,
28,Kytky z pumpy,Renne Dang,9485,https://open.spotify.com/track/0yPHAfN6d4Id9dsUeuWhJm,
29,Dynamite,BTS,9452,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,
30,In Your Eyes (feat. Alida),Robin Schulz,9387,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC,
31,Hotel,STEIN27,9217,https://open.spotify.com/track/5WiwekdTgMYXq40FMgPJWP,
32,Ride It,Regard,9161,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,
33,Růže,Calin,8892,https://open.spotify.com/track/0snC0JRK2kq9AbB0AjWTm8,
34,Pisnicka (feat. Pokac),Pavel Callta,8823,https://open.spotify.com/track/0dp3uLJSUto8q1kLal1LLj,
35,Zlatíčka,Kapitán Demo,8750,https://open.spotify.com/track/2pJoAuFgqqbOny1Ojo7Ggk,
36,YAHODA,Mirai,8402,https://open.spotify.com/track/2m25cn629PZ92Dhnk0m39e,
37,Dobrej den,Refew,8336,https://open.spotify.com/track/4KHcGXpPxkmJ6h4WbXYWLO,
38,Legendární,Sergei Barracuda,8334,https://open.spotify.com/track/4g95Y4NXCWKMCheBjuRZxQ,
39,Rain On Me (with Ariana Grande),Lady Gaga,8296,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,
40,Before You Go,Lewis Capaldi,8213,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,
41,Oblivion,Viktor Sheen,8095,https://open.spotify.com/track/0gsuaFpyFi9LHoIZqkLKDU,
42,Midnight Sky,Miley Cyrus,8023,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,
43,death bed (coffee for your head),Powfu,8019,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,
44,Slunko,Skardu,7952,https://open.spotify.com/track/0tyJzrm3idpMxygpfaaP9r,
45,Sladká,Dorian,7803,https://open.spotify.com/track/53babpnCbhRGyme9RPksyf,
